step 0: train loss 4.2966, val loss 4.2990
iter 0: loss 4.2902, time 89611.12ms, mfu -100.00%
iter 1: loss 4.2905, time 18735.23ms, mfu -100.00%
iter 2: loss 4.2995, time 18833.29ms, mfu -100.00%
iter 3: loss 4.3044, time 18269.69ms, mfu -100.00%
iter 4: loss 4.2887, time 18643.33ms, mfu -100.00%
iter 5: loss 4.2783, time 18807.06ms, mfu 0.04%
iter 6: loss 4.2851, time 18104.24ms, mfu 0.04%
iter 7: loss 4.2835, time 19186.69ms, mfu 0.04%
iter 8: loss 4.2734, time 18869.07ms, mfu 0.04%
iter 9: loss 4.2781, time 18749.11ms, mfu 0.04%
iter 10: loss 4.2779, time 18514.77ms, mfu 0.04%
iter 11: loss 4.2565, time 18606.72ms, mfu 0.04%
iter 12: loss 4.2510, time 18370.92ms, mfu 0.04%
iter 13: loss 4.2453, time 18958.35ms, mfu 0.04%
iter 14: loss 4.2349, time 20551.09ms, mfu 0.04%
iter 15: loss 4.2214, time 20533.25ms, mfu 0.04%
iter 16: loss 4.2101, time 18227.95ms, mfu 0.04%
iter 17: loss 4.2075, time 18622.58ms, mfu 0.04%
iter 18: loss 4.1966, time 18278.73ms, mfu 0.04%
iter 19: loss 4.1889, time 18911.96ms, mfu 0.04%
iter 20: loss 4.1756, time 19118.67ms, mfu 0.04%
iter 21: loss 4.1498, time 18273.12ms, mfu 0.04%
iter 22: loss 4.1603, time 18850.42ms, mfu 0.04%
iter 23: loss 4.1538, time 18563.17ms, mfu 0.04%
iter 24: loss 4.1192, time 19328.81ms, mfu 0.04%
iter 25: loss 4.1120, time 19075.82ms, mfu 0.04%
iter 26: loss 4.0893, time 18816.56ms, mfu 0.04%
iter 27: loss 4.0860, time 19174.88ms, mfu 0.04%
iter 28: loss 4.0675, time 19203.04ms, mfu 0.04%
iter 29: loss 4.0536, time 18565.02ms, mfu 0.04%
iter 30: loss 4.0409, time 18790.38ms, mfu 0.04%
iter 31: loss 4.0306, time 18495.73ms, mfu 0.04%
iter 32: loss 4.0147, time 18382.73ms, mfu 0.04%
iter 33: loss 3.9909, time 18362.51ms, mfu 0.04%
iter 34: loss 3.9507, time 18349.92ms, mfu 0.04%
iter 35: loss 3.9670, time 18781.96ms, mfu 0.04%
iter 36: loss 3.9480, time 18751.95ms, mfu 0.04%
iter 37: loss 3.9324, time 18434.57ms, mfu 0.04%
iter 38: loss 3.9292, time 18304.97ms, mfu 0.04%
iter 39: loss 3.8872, time 18644.81ms, mfu 0.04%
iter 40: loss 3.8868, time 18738.10ms, mfu 0.04%
iter 41: loss 3.8715, time 18653.17ms, mfu 0.04%
iter 42: loss 3.8698, time 19080.73ms, mfu 0.04%
iter 43: loss 3.8492, time 18811.74ms, mfu 0.04%
iter 44: loss 3.8263, time 18897.23ms, mfu 0.04%
iter 45: loss 3.8300, time 19210.95ms, mfu 0.04%
iter 46: loss 3.8107, time 19833.09ms, mfu 0.04%
iter 47: loss 3.7943, time 19595.24ms, mfu 0.04%
iter 48: loss 3.8063, time 19275.17ms, mfu 0.04%
iter 49: loss 3.7885, time 19412.96ms, mfu 0.04%
iter 50: loss 3.7728, time 19025.01ms, mfu 0.04%
iter 51: loss 3.7647, time 19268.89ms, mfu 0.04%
iter 52: loss 3.7617, time 19371.98ms, mfu 0.03%
iter 53: loss 3.7555, time 19298.16ms, mfu 0.03%
iter 54: loss 3.7457, time 19809.38ms, mfu 0.03%
iter 55: loss 3.7398, time 19627.23ms, mfu 0.03%
iter 56: loss 3.7257, time 19112.29ms, mfu 0.03%
iter 57: loss 3.7272, time 19228.97ms, mfu 0.03%
iter 58: loss 3.7054, time 19210.41ms, mfu 0.03%
iter 59: loss 3.6982, time 18761.68ms, mfu 0.03%
iter 60: loss 3.7024, time 19212.03ms, mfu 0.03%
iter 61: loss 3.6988, time 18925.35ms, mfu 0.03%
iter 62: loss 3.6900, time 19000.15ms, mfu 0.03%
iter 63: loss 3.6891, time 19314.84ms, mfu 0.03%
iter 64: loss 3.6899, time 18396.02ms, mfu 0.04%
iter 65: loss 3.6795, time 18564.58ms, mfu 0.04%
